observation_date,PAYEMS_20091002,GDP_20090930
10/1/1969,71119.0,1004.5
11/1/1969,71088.0,
12/1/1969,71240.0,
1/1/1970,71176.0,1017.1
2/1/1970,71302.0,
3/1/1970,71453.0,
4/1/1970,71348.0,1033.1
5/1/1970,71122.0,
6/1/1970,71028.0,
7/1/1970,71055.0,1050.5
8/1/1970,70932.0,
9/1/1970,70949.0,
10/1/1970,70519.0,1052.7
11/1/1970,70409.0,
12/1/1970,70790.0,
1/1/1971,70866.0,1098.1
2/1/1971,70805.0,
3/1/1971,70859.0,
4/1/1971,71037.0,1118.8
5/1/1971,71247.0,
6/1/1971,71253.0,
7/1/1971,71316.0,1139.1
8/1/1971,71368.0,
9/1/1971,71620.0,
10/1/1971,71642.0,1151.4
11/1/1971,71844.0,
12/1/1971,72108.0,
1/1/1972,72445.0,1190.1
2/1/1972,72652.0,
3/1/1972,72945.0,
4/1/1972,73163.0,1225.6
5/1/1972,73467.0,
6/1/1972,73760.0,
7/1/1972,73709.0,1249.3
8/1/1972,74137.0,
9/1/1972,74268.0,
10/1/1972,74672.0,1286.6
11/1/1972,74965.0,
12/1/1972,75270.0,
1/1/1973,75620.0,1335.1
2/1/1973,76017.0,
3/1/1973,76286.0,
4/1/1973,76456.0,1371.5
5/1/1973,76646.0,
6/1/1973,76886.0,
7/1/1973,76911.0,1390.7
8/1/1973,77166.0,
9/1/1973,77281.0,
10/1/1973,77605.0,1431.8
11/1/1973,77909.0,
12/1/1973,78035.0,
1/1/1974,78104.0,1446.5
2/1/1974,78253.0,
3/1/1974,78295.0,
4/1/1974,78384.0,1484.8
5/1/1974,78547.0,
6/1/1974,78602.0,
7/1/1974,78634.0,1513.7
8/1/1974,78619.0,
9/1/1974,78614.0,
10/1/1974,78627.0,1552.8
11/1/1974,78259.0,
12/1/1974,77657.0,
1/1/1975,77297.0,1569.4
2/1/1975,76919.0,
3/1/1975,76649.0,
4/1/1975,76463.0,1605.0
5/1/1975,76623.0,
6/1/1975,76519.0,
7/1/1975,76768.0,1662.4
8/1/1975,77154.0,
9/1/1975,77232.0,
10/1/1975,77535.0,1713.9
11/1/1975,77679.0,
12/1/1975,78017.0,
1/1/1976,78506.0,1771.9
2/1/1976,78817.0,
3/1/1976,79049.0,
4/1/1976,79293.0,1804.2
5/1/1976,79311.0,
6/1/1976,79376.0,
7/1/1976,79546.0,1837.7
8/1/1976,79704.0,
9/1/1976,79892.0,
10/1/1976,79905.0,1884.5
11/1/1976,80237.0,
12/1/1976,80448.0,
1/1/1977,80692.0,1938.5
2/1/1977,80987.0,
3/1/1977,81391.0,
4/1/1977,81730.0,2005.2
5/1/1977,82089.0,
